state,state_full,vaping_percent
NSW,New South Wales,7.9
Vic,Victoria,7.0
Qld,Queensland,6.9
WA,Western Australia,6.9
SA,South Australia,4.9
Tas,Tasmania,3.7
ACT,Australian Capital Territory,5.7
NT,Northern Territory,6.6
