state,state_full,smoking,vaping,drugs
NSW,New South Wales,7.5,7.9,17.5
Vic,Victoria,7.6,7.0,17.6
Qld,Queensland,10.5,6.9,18.4
WA,Western Australia,7.7,6.9,20.1
SA,South Australia,9.0,4.9,17.0
Tas,Tasmania,11.3,3.7,16.4
ACT,Australian Capital Territory,4.8,5.7,14.1
NT,Northern Territory,13.1,6.6,25.2
